nb_compo_lle,f1_scores_lle,accuracy_scores_lle,elapsed_dr_lle,elapsed_clf_lle,elapsed_tot_lle,nb_compo_mlle,f1_scores_mlle,accuracy_scores_mlle,elapsed_dr_mlle,elapsed_clf_mlle,elapsed_tot_mlle,f1_scores_raw,accuracy_scores_raw,elapsed_times_raw
17,0.8367346938775511,0.8367346938775511,9.21818995475769,0.6863811016082764,9.904571056365967,17,0.857023660528041,0.8571428571428571,11.73080587387085,0.623887300491333,12.354693174362183,0.8333333333333334,0.8367346938775511,0.8650400638580322
18,0.816173277821767,0.8163265306122449,9.21193814277649,0.6789066791534424,9.890844821929932,18,0.857023660528041,0.8571428571428571,11.745696067810059,0.6362261772155762,12.381922245025635,0.8333333333333334,0.8367346938775511,0.8650400638580322
19,0.816173277821767,0.8163265306122449,9.226116180419922,0.6844093799591064,9.910525560379028,19,0.857023660528041,0.8571428571428571,11.731365442276001,0.6277258396148682,12.35909128189087,0.8333333333333334,0.8367346938775511,0.8650400638580322
20,0.816173277821767,0.8163265306122449,9.224354982376099,0.673865556716919,9.898220539093018,20,0.816326530612245,0.8163265306122449,11.713779926300049,0.6156349182128906,12.32941484451294,0.8333333333333334,0.8367346938775511,0.8650400638580322
21,0.816173277821767,0.8163265306122449,9.21876573562622,0.7146613597869873,9.933427095413208,21,0.816326530612245,0.8163265306122449,11.713379859924316,0.6604251861572266,12.373805046081543,0.8333333333333334,0.8367346938775511,0.8650400638580322
22,0.816173277821767,0.8163265306122449,9.244092464447021,0.6930210590362549,9.937113523483276,22,0.8367346938775511,0.8367346938775511,11.729982376098633,0.6563231945037842,12.386305570602417,0.8333333333333334,0.8367346938775511,0.8650400638580322
23,0.816173277821767,0.8163265306122449,9.298173189163208,0.6954524517059326,9.99362564086914,23,0.8367346938775511,0.8367346938775511,11.699297189712524,0.6533610820770264,12.35265827178955,0.8333333333333334,0.8367346938775511,0.8650400638580322
24,0.816173277821767,0.8163265306122449,9.223538398742676,0.6841104030609131,9.907648801803589,24,0.8367346938775511,0.8367346938775511,11.705713272094727,0.6428415775299072,12.348554849624634,0.8333333333333334,0.8367346938775511,0.8650400638580322
25,0.816173277821767,0.8163265306122449,9.22909927368164,0.7308716773986816,9.959970951080322,25,0.8367346938775511,0.8367346938775511,11.693655967712402,0.6656615734100342,12.359317541122437,0.8333333333333334,0.8367346938775511,0.8650400638580322
26,0.816173277821767,0.8163265306122449,9.325028419494629,0.7265567779541016,10.05158519744873,26,0.8367346938775511,0.8367346938775511,11.726822853088379,0.67311692237854,12.399939775466919,0.8333333333333334,0.8367346938775511,0.8650400638580322
