nb_neigh_lle,f1_scores_lle,accuracy_scores_lle,elapsed_dr_lle,elapsed_clf_lle,elapsed_tot_lle,nb_neigh_mlle,f1_scores_mlle,accuracy_scores_mlle,elapsed_dr_mlle,elapsed_clf_mlle,elapsed_tot_mlle,f1_scores_raw,accuracy_scores_raw,elapsed_times_raw
11,0.857023660528041,0.8571428571428571,8.828124523162842,0.765625,9.593749523162842,29,0.8367346938775511,0.8367346938775511,10.82857060432434,0.7656040191650391,11.59417462348938,0.8333333333333334,0.8367346938775511,1.062497854232788
12,0.8363251655177122,0.8367346938775511,8.406250476837158,0.7656283378601074,9.171878814697266,30,0.8367346938775511,0.8367346938775511,10.656253576278687,0.7968690395355225,11.453122615814209,0.8333333333333334,0.8367346938775511,1.062497854232788
13,0.8353604067889782,0.8367346938775511,8.234375953674316,0.7812488079071045,9.015624761581421,31,0.857023660528041,0.8571428571428571,11.125000715255737,0.7656261920928955,11.890626907348633,0.8333333333333334,0.8367346938775511,1.062497854232788
14,0.8363251655177122,0.8367346938775511,8.124999761581421,0.7968790531158447,8.921878814697266,32,0.857023660528041,0.8571428571428571,12.187495470046997,0.7812526226043701,12.968748092651367,0.8333333333333334,0.8367346938775511,1.062497854232788
15,0.7959183673469388,0.7959183673469388,8.125003337860107,0.7656235694885254,8.890626907348633,33,0.857023660528041,0.8571428571428571,11.515626668930054,0.7656214237213135,12.281248092651367,0.8333333333333334,0.8367346938775511,1.062497854232788
16,0.775322895115493,0.7755102040816326,8.124996423721313,0.7656338214874268,8.89063024520874,34,0.8367346938775511,0.8367346938775511,10.812501192092896,0.7812752723693848,11.59377646446228,0.8333333333333334,0.8367346938775511,1.062497854232788
17,0.7959183673469388,0.7959183673469388,8.125003576278687,0.765617847442627,8.890621423721313,35,0.857023660528041,0.8571428571428571,10.90625,0.7343494892120361,11.640599489212036,0.8333333333333334,0.8367346938775511,1.062497854232788
18,0.775322895115493,0.7755102040816326,8.249997615814209,0.7969202995300293,9.046917915344238,36,0.857023660528041,0.8571428571428571,11.124999284744263,0.7500033378601074,11.87500262260437,0.8333333333333334,0.8367346938775511,1.062497854232788
19,0.7959183673469388,0.7959183673469388,8.171871900558472,0.7968413829803467,8.968713283538818,37,0.8772438741382841,0.8775510204081632,11.921874761581421,0.7656230926513672,12.687497854232788,0.8333333333333334,0.8367346938775511,1.062497854232788
20,0.7755102040816326,0.7755102040816326,8.203130006790161,0.8125090599060059,9.015639066696167,38,0.8772438741382841,0.8775510204081632,11.12500262260437,0.7968807220458984,11.921883344650269,0.8333333333333334,0.8367346938775511,1.062497854232788
21,0.816326530612245,0.8163265306122449,8.203118085861206,0.812483549118042,9.015601634979248,39,0.8772438741382841,0.8775510204081632,12.234368085861206,0.812493085861206,13.046861171722412,0.8333333333333334,0.8367346938775511,1.062497854232788
